purchase_date,Income
6.13.2025,1.7512
6.14.2025,1.7512
6.15.2025,1.7512
6.16.2025,1.7512
6.17.2025,1.7512
6.18.2025,1.7512
6.19.2025,1.756
6.20.2025,1.7512
6.21.2025,1.7512
6.22.2025,0.7912
6.23.2025,1.7512
6.24.2025,1.7512
6.25.2025,1.7808
6.26.2025,1.7512
6.27.2025,1.7512
6.28.2025,1.7512
6.29.2025,3.5312
6.30.2025,1.7512
7.01.2025,1.7512
7.02.2025,1.7656
7.03.2025,1.7512
7.04.2025,1.7656
7.05.2025,0.7912
7.06.2025,3.1824
