purchase_date,Income,log_income
5/29/2024,3.59,0.555094449
5/29/2024,2.545,0.405687787
5/29/2024,4.695,0.671635597
5/29/2024,3.495,0.54344718
5/29/2024,4.475,0.65079304
5/29/2024,1.725,0.236789099
5/29/2024,12.845,1.108734109
5/29/2024,9.72,0.987666265
5/29/2024,7.45,0.872156273
5/29/2024,1.395,0.144574208
5/29/2024,1.745,0.241795431
5/29/2024,260.82,2.416340891
5/29/2024,3.85,0.58546073
5/29/2024,9.99,0.999565488
5/29/2024,3.945,0.596047008
5/29/2024,4.695,0.671635597
5/29/2024,2.145,0.331427297
5/29/2024,1.745,0.241795431
5/29/2024,1.74,0.240549248
5/29/2024,36.92,1.567261692
5/29/2024,2.675,0.427323786
5/29/2024,7.645,0.88337749
5/29/2024,6.745,0.828981954
5/29/2024,12.845,1.108734109
5/29/2024,4.695,0.671635597
5/29/2024,9.9,0.995635195
5/29/2024,9.945,0.997604787
5/29/2024,10.245,1.010511963
5/29/2024,1.745,0.241795431
5/29/2024,1.745,0.241795431
5/29/2024,11.68,1.067442843
5/29/2024,7.95,0.900367129
5/29/2024,12,1.079181246
5/29/2024,1.745,0.241795431
5/29/2024,1.645,0.216165902
5/29/2024,7.645,0.88337749
5/29/2024,3.745,0.573451822
5/29/2024,1.745,0.241795431
5/29/2024,2.145,0.331427297
5/29/2024,1.745,0.241795431
5/29/2024,1.645,0.216165902
5/29/2024,9.78,0.990338855
5/29/2024,1.655,0.218797998
5/29/2024,1.645,0.216165902
5/29/2024,3.52,0.546542663
5/29/2024,1.745,0.241795431
5/29/2024,9.7,0.986771734
5/29/2024,1.745,0.241795431
5/29/2024,3.945,0.596047008
5/29/2024,4.695,0.671635597
5/29/2024,4.475,0.65079304
5/29/2024,9.895,0.995415799
5/29/2024,360.45,2.55684503
5/29/2024,4.695,0.671635597
5/29/2024,9.7,0.986771734
5/29/2024,3.945,0.596047008
5/29/2024,1.745,0.241795431
5/29/2024,9.7,0.986771734
5/29/2024,3.745,0.573451822
5/29/2024,6.745,0.828981954
5/29/2024,4.475,0.65079304
5/29/2024,18.44,1.265760917
5/29/2024,7.245,0.86003839
5/29/2024,4.45,0.648360011
5/29/2024,4.695,0.671635597
5/29/2024,9.7,0.986771734
5/29/2024,15.58,1.192567453
5/29/2024,4.695,0.671635597
5/29/2024,9.7,0.986771734
5/29/2024,19.9,1.298853076
5/29/2024,3.25,0.511883361
5/29/2024,8.445,0.926599654
5/29/2024,12.845,1.108734109
5/29/2024,4.425,0.645913275
5/29/2024,12.845,1.108734109
5/29/2024,3.495,0.54344718
5/29/2024,1.645,0.216165902
5/29/2024,11.735,1.069483094
5/29/2024,7.245,0.86003839
5/29/2024,28.98,1.462098381
5/29/2024,10.42,1.017867719
5/29/2024,1.745,0.241795431
5/29/2024,12,1.079181246
5/29/2024,4.015,0.60368555
5/29/2024,12.845,1.108734109
