purchase_date,GELİR,
04/05/2024,#BAŞV!,1.945
04/05/2024,#BAŞV!,1.945
03/05/2024,#BAŞV!,1.415
03/05/2024,#BAŞV!,1.975
03/05/2024,#BAŞV!,1.415
03/05/2024,#BAŞV!,1.945
02/05/2024,#BAŞV!,1.585
02/05/2024,#BAŞV!,1.995
01/05/2024,#BAŞV!,2.425
01/05/2024,#BAŞV!,2.345
01/05/2024,#BAŞV!,2.425
01/05/2024,#BAŞV!,1.245
01/05/2024,#BAŞV!,1.945
01/05/2024,#BAŞV!,2.345
01/05/2024,#BAŞV!,1.245
01/05/2024,#BAŞV!,1.245
01/05/2024,#BAŞV!,1.245
01/05/2024,#BAŞV!,1.975
21/05/2024,#BAŞV!,48.915
30/05/2024,#BAŞV!,7.475
30/05/2024,#BAŞV!,21.78
30/05/2024,#BAŞV!,5.445
30/05/2024,#BAŞV!,5.445
30/05/2024,#BAŞV!,10.745
29/05/2024,#BAŞV!,8.745
29/05/2024,#BAŞV!,5.445
29/05/2024,#BAŞV!,5.445
29/05/2024,#BAŞV!,5.445
29/05/2024,#BAŞV!,8.745
28/05/2024,#BAŞV!,5.445
28/05/2024,#BAŞV!,5.445
26/05/2024,#BAŞV!,21.78
25/05/2024,#BAŞV!,5.445
25/05/2024,#BAŞV!,5.445
24/05/2024,#BAŞV!,5.445
24/05/2024,#BAŞV!,5.445
24/05/2024,#BAŞV!,8.745
24/05/2024,#BAŞV!,5.445
24/05/2024,#BAŞV!,21.78
24/05/2024,#BAŞV!,5.445
23/05/2024,#BAŞV!,5.445
22/05/2024,#BAŞV!,5.445
22/05/2024,#BAŞV!,5.445
22/05/2024,#BAŞV!,5.445
21/05/2024,#BAŞV!,8.745
20/05/2024,#BAŞV!,5.445
19/05/2024,#BAŞV!,5.445
18/05/2024,#BAŞV!,5.445
18/05/2024,#BAŞV!,5.445
18/05/2024,#BAŞV!,5.445
17/05/2024,#BAŞV!,5.445
17/05/2024,#BAŞV!,8.745
16/05/2024,#BAŞV!,8.745
16/05/2024,#BAŞV!,8.745
14/05/2024,#BAŞV!,8.745
13/05/2024,#BAŞV!,5.445
13/05/2024,#BAŞV!,5.445
13/05/2024,#BAŞV!,5.445
12/05/2024,#BAŞV!,5.445
11/05/2024,#BAŞV!,5.445
11/05/2024,#BAŞV!,5.445
10/05/2024,#BAŞV!,5.445
10/05/2024,#BAŞV!,5.445
10/05/2024,#BAŞV!,21.78
09/05/2024,#BAŞV!,5.445
09/05/2024,#BAŞV!,5.445
09/05/2024,#BAŞV!,5.445
09/05/2024,#BAŞV!,5.445
08/05/2024,#BAŞV!,21.78
08/05/2024,#BAŞV!,5.445
08/05/2024,#BAŞV!,5.445
08/05/2024,#BAŞV!,5.445
07/05/2024,#BAŞV!,5.445
06/05/2024,#BAŞV!,5.445
05/05/2024,#BAŞV!,5.445
03/05/2024,#BAŞV!,5.445
02/05/2024,#BAŞV!,5.445
01/05/2024,#BAŞV!,5.445
30/05/2024,#BAŞV!,2.01
30/05/2024,#BAŞV!,5.895
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,6.1
30/05/2024,#BAŞV!,11.38
30/05/2024,#BAŞV!,4.45
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,15.78
30/05/2024,#BAŞV!,4.695
30/05/2024,#BAŞV!,3.25
30/05/2024,#BAŞV!,11.735
30/05/2024,#BAŞV!,11.735
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,9.7
30/05/2024,#BAŞV!,13.475
30/05/2024,#BAŞV!,9.925
30/05/2024,#BAŞV!,3.25
30/05/2024,#BAŞV!,9.925
30/05/2024,#BAŞV!,7.245
30/05/2024,#BAŞV!,7.035
30/05/2024,#BAŞV!,1.725
